Granularity,Start date,End date,Business ID,Business name,Store ID,Store name,Merchant supplied store ID,Channel,Fulfillment type,Is DashPass,Customer type,Currency,Total orders/deliveries (including cancelled),Total cancelled orders/deliveries,Gross sales,AOV
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,14,0,238.12,17.01
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,24,0,398.27,16.59
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,108.83,21.77
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,15,0,169.35,11.29
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,29,1,654.41,22.57
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,1,0,13.27,13.27
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,5,0,74.33,14.87
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,15,0,217.86,14.52
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,1,0,17.88,17.88
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,2,0,31.45,15.73
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,9,0,135.38,15.04
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,2,0,27.92,13.96
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,unknown,USD,1,1,18.53,18.53
