Granularity,Start date,End date,Business ID,Business name,Store ID,Store name,Merchant supplied store ID,Channel,Fulfillment type,Is DashPass,Customer type,Currency,Total orders/deliveries (including cancelled),Total cancelled orders/deliveries,Gross sales,AOV
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,30,0,494.48,16.48
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,38,0,920.15,24.21
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,13,0,254.89,19.61
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,3,0,56.59,18.86
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,7,0,72.37,10.34
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,11,0,139.07,12.64
Day of 2025-02-07,2025-02-07,2025-02-07,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,4,0,71.66,17.92
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,24,1,553.60,23.07
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,10,0,205.91,20.59
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,0,29.64,14.82
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,16,0,236.96,14.81
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,32,0,652.30,20.38
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,5,0,87.65,17.53
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,12,0,192.56,16.05
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,11,0,186.91,16.99
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,26,1,574.28,22.09
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,32,0,503.31,15.73
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,4,0,83.74,20.94
Day of 2025-02-08,2025-02-08,2025-02-08,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,23,2,340.32,14.80
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,3,0,91.56,30.52
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,5,0,113.86,22.77
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,0,40.54,20.27
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,12,0,300.68,25.06
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,40,2,941.33,23.53
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,22,0,410.56,18.66
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,21,0,270.66,12.89
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,17,0,409.80,24.11
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,15,0,301.79,20.12
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,2,0,17.95,8.98
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,4,1,115.24,28.81
Day of 2025-02-09,2025-02-09,2025-02-09,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,16,1,296.50,18.53
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,6,0,149.12,24.85
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1,0,20.26,20.26
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,4,0,54.52,13.63
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,11,0,189.53,17.23
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,7,0,83.70,11.96
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,15,0,254.87,16.99
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,2,0,23.17,11.59
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,16,0,262.46,16.40
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,22,0,534.55,24.30
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,11,0,245.27,22.30
Day of 2025-02-10,2025-02-10,2025-02-10,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,2,0,39.46,19.73
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,15,0,244.86,16.32
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,91.33,30.44
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,104.21,20.84
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,2,0,65.59,32.80
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,17,0,371.93,21.88
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1,0,25.34,25.34
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,8,0,109.26,13.66
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,1,0,7.77,7.77
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,17,0,345.52,20.32
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,2,0,28.96,14.48
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,14,0,298.42,21.32
Day of 2025-02-11,2025-02-11,2025-02-11,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,6,0,66.90,11.15
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,16,0,354.74,22.17
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,4,0,59.09,14.77
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,59.38,19.79
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,4,0,40.80,10.20
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,5,0,79.06,15.81
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,6,0,105.82,17.64
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,10,0,189.20,18.92
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,19,0,403.10,21.22
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,24,0,564.42,23.52
Day of 2025-02-12,2025-02-12,2025-02-12,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,15,0,254.93,17.00
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,2,0,48.05,24.03
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,4,0,41.12,10.28
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,79.02,15.80
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,8,0,121.77,15.22
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,17,0,270.10,15.89
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,5,0,108.88,21.78
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,34,0,736.29,21.66
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,3,0,65.85,21.95
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,17,1,278.83,16.40
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,14,0,286.24,20.45
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,4,0,122.93,30.73
Day of 2025-02-13,2025-02-13,2025-02-13,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,21,0,457.94,21.81
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,92.60,18.52
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,6,0,87.54,14.59
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,23,0,341.71,14.86
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,17,0,357.14,21.01
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,7,0,109.96,15.71
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,15,0,299.68,19.98
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,31,0,637.12,20.55
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,29,0,675.99,23.31
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1,0,5.08,5.08
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,10,0,241.70,24.17
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,6,0,114.69,19.12
Day of 2025-02-14,2025-02-14,2025-02-14,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,2,0,45.38,22.69
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,1,0,10.99,10.99
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,22,1,370.13,16.82
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,4,0,71.37,17.84
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,131.65,26.33
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,9,0,159.67,17.74
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,7,0,148.77,21.25
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,19,0,399.70,21.04
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,41,0,904.24,22.05
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,5,0,65.25,13.05
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,11,0,201.72,18.34
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,31,0,704.32,22.72
Day of 2025-02-15,2025-02-15,2025-02-15,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,16,0,300.62,18.79
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,unknown,USD,1,1,20.26,20.26
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,9,0,143.24,15.92
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,26,0,421.07,16.20
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,28,1,566.99,20.25
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,32,0,720.77,22.52
Day of 2025-02-16,2025-02-16,2025-02-16,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,4,0,78.16,19.54
