Start date,End date,Business ID,Business name,Store ID,Store name,Channel,Item name,Popular item,Currency,Gross sales,Discounts,Total sold,Total item errors,Total error charges
2025-01-15,2026-05-23,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Sausage Egg Cheese Bagel Meal,0,USD,556.04,33.81,55,0,0.00
2025-01-05,2026-05-29,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Mango Pineapple Smoothie,0,USD,555.16,32.22,129,6,23.08
2025-01-02,2026-05-30,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Bacon McDouble®,0,USD,550.90,69.03,107,6,8.63
2025-01-01,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,McChicken® Biscuit,0,USD,549.26,43.27,188,3,14.32
2025-01-02,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Sweet N Sour Dipping Sauce,0,USD,549.12,58.24,1408,38,23.10
2025-01-01,2026-05-28,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Chocolate Shake,0,USD,548.03,39.62,116,7,31.25
2025-01-12,2026-04-12,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Iced French Vanilla Coffee,0,USD,540.12,53.00,143,1,1.00
2025-03-04,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Steak & Egg McMuffin®,0,USD,537.63,47.89,102,7,37.56
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Root Beer,0,USD,533.30,57.17,260,3,5.44
2025-01-03,2026-05-30,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Egg McMuffin® Meal,0,USD,531.56,41.72,58,3,13.84
2025-01-03,2026-05-31,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Sausage,0,USD,531.41,34.56,179,5,16.79
2025-01-07,2026-05-18,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Sausage,0,USD,521.27,34.55,173,0,0.00
2025-12-02,2025-12-05,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,The Grinch™ Big Mac® Meal,0,USD,521.25,73.52,35,2,16.91
2025-07-11,2026-05-25,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,2 Mix & Match Snack Wrap® Meal,0,USD,507.07,38.63,42,0,0.00
2025-01-06,2026-05-29,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Fanta® Orange,0,USD,506.34,62.00,246,2,3.54
2025-01-14,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Oatmeal,0,USD,502.16,35.61,139,6,7.61
2025-12-02,2025-12-05,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,The Grinch™ Big Mac® Meal,0,USD,498.58,73.44,34,0,0.00
2025-07-10,2026-05-28,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Spicy Snack Wrap®,0,USD,495.73,50.68,130,1,3.26
2025-01-02,2025-12-21,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,McRib®,0,USD,491.80,87.13,78,9,43.84
2025-01-11,2026-05-28,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Oatmeal,0,USD,489.23,38.56,136,6,18.49
2025-01-04,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Caramel Sundae,0,USD,489.22,45.90,122,17,55.18
2025-04-18,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Iced Mocha,0,USD,487.66,58.85,114,9,29.82
2026-02-24,2026-05-24,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,BIG ARCH™,0,USD,486.35,38.84,45,0,13.53
2025-05-01,2026-05-20,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,3 Piece McCrispy™ Strips,0,USD,482.82,34.65,78,0,5.34
2025-01-02,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Frozen Fanta® Blue Raspberry,0,USD,482.21,54.65,155,3,7.09
2025-01-26,2026-05-28,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Double Hamburger,0,USD,479.72,35.41,131,6,19.24
2025-01-11,2026-05-30,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Bacon Quarter Pounder® with Cheese,0,USD,476.38,66.97,60,3,19.96
2025-01-25,2026-05-25,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Deluxe McCrispy™,0,USD,470.97,58.02,58,2,16.46
