Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-16,USD,Storefront,31.16,0.00,0.00,-1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.51,31.16,-2.18,0.00,0.00,562309405,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-16,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.78,49.78,0.00,0.00,0.00,0.00,562309405,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-09,USD,Marketplace,9945.26,0.00,-1398.73,0.00,-377.10,-843.14,-87.27,0.00,87.27,0.00,-932.24,0.00,-288.00,0.00,-264.88,118.45,7179.86,9020.83,-631.45,87.27,843.14,560447118,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-09,USD,Storefront,9.99,0.00,0.00,-0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.07,9.99,-0.70,0.00,0.00,560447118,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-09,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.98,60.98,0.00,0.00,0.00,0.00,560447118,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-02,USD,Marketplace,12023.23,0.00,-1660.23,0.00,-449.16,-1188.67,-117.73,0.00,117.73,0.00,-1271.83,0.00,-366.00,0.00,-401.24,63.88,8387.81,10725.81,-750.47,117.73,1188.67,558582973,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-02,USD,Storefront,172.44,0.00,0.00,-9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.97,172.44,-12.07,0.00,0.00,558582973,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-02,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.64,51.64,0.00,0.00,0.00,0.00,558582973,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-23,USD,Marketplace,10327.40,0.00,-1415.86,0.00,-465.18,-1112.47,-91.15,-21.91,91.15,21.91,-1193.65,0.00,-384.00,0.00,-345.23,101.81,7090.47,9126.77,-638.99,113.06,1142.03,556751708,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.05,43.05,0.00,0.00,0.00,0.00,556751708,PAID
