Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2026-01-15,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,20,4,3,57.31,9.0,0.0,0.0,19.1,3.0,6.37,1,2,3
2026-01-16,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,481,75,28,668.3,84.0,0.0,0.0,23.87,3.0,7.96,2,25,27
2026-01-16,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-17,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,661,68,28,601.75,84.0,0.0,0.0,21.49,3.0,7.16,2,22,28
2026-01-17,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-18,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,571,86,33,585.09,99.0,0.0,0.0,17.73,3.0,5.91,2,27,33
2026-01-18,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,18,1,1,24.67,3.0,0.0,0.0,24.67,3.0,8.22,0,1,1
2026-01-19,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,240,21,14,241.69,42.0,0.0,0.0,17.26,3.0,5.75,2,11,14
2026-01-19,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,20,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-20,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,19,1,1,15.98,3.0,0.0,0.0,15.98,3.0,5.33,1,0,1
2026-01-20,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,323,33,13,273.44,39.0,0.0,0.0,21.03,3.0,7.01,0,12,13
2026-01-21,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-21,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,392,28,15,333.28,45.0,0.0,0.0,22.22,3.0,7.41,1,13,15
2026-01-22,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,361,28,8,148.18,24.0,0.0,0.0,18.52,3.0,6.17,1,7,8
2026-01-22,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,13,2,1,10.99,3.0,0.0,0.0,10.99,3.0,3.66,0,1,1
2026-01-23,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-23,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,500,75,28,609.05,84.0,0.0,0.0,21.75,3.0,7.25,1,26,28
2026-01-24,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,476,58,19,397.27,57.0,0.0,0.0,20.91,3.0,6.97,0,18,19
2026-01-24,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,24,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-25,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,650,85,25,515.3,75.0,0.0,0.0,20.61,3.0,6.87,1,21,25
2026-01-25,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-26,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,279,31,14,251.56,42.0,0.0,0.0,17.97,3.0,5.99,0,12,14
2026-01-26,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,21,2,1,11.58,3.0,0.0,0.0,11.58,3.0,3.86,1,0,1
2026-01-27,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,222,33,16,337.37,48.0,0.0,0.0,21.09,3.0,7.03,1,13,16
2026-01-27,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,24,2,2,28.65,6.0,0.0,0.0,14.33,3.0,4.78,0,1,2
2026-01-28,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-01-28,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,181,20,11,244.03,33.0,0.0,0.0,22.18,3.0,7.39,1,10,11
2026-01-29,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,63,10,5,82.06,15.0,0.0,0.0,16.41,3.0,5.47,0,5,5
2026-01-29,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,6,2,1,18.78,3.0,0.0,0.0,18.78,3.0,6.26,1,0,1
2026-01-30,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,14,3,1,18.76,3.0,0.0,0.0,18.76,3.0,6.25,0,0,1
2026-01-30,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,439,50,21,516.25,63.0,0.0,0.0,24.58,3.0,8.19,1,20,21
2026-01-31,false,3f01e6ae-2dbc-4786-bb64-c21338141daf,McDonald's Ad Campaign (AACM) 1/1-1/31/26,2026-01-01,2026-02-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,7,1,1,11.37,3.0,0.0,0.0,11.37,3.0,3.79,0,1,1
2026-01-31,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,419,66,13,288.99,39.0,0.0,0.0,22.23,3.0,7.41,0,12,13
2026-02-01,false,fd8bb973-2fb3-4bc6-b454-180bf9f6c726,McDonald's Ad Campaign (AACM) 2/1-2/28/26,2026-02-01,2026-03-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,17,3,1,26.17,3.0,0.0,0.0,26.17,3.0,8.72,0,1,1
2026-02-01,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,573,83,19,349.47,57.08,0.0,0.0,18.39,3.0,6.12,0,17,19
2026-02-02,false,fd8bb973-2fb3-4bc6-b454-180bf9f6c726,McDonald's Ad Campaign (AACM) 2/1-2/28/26,2026-02-01,2026-03-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-02-02,true,881d59ca-8143-43be-ad69-cd1244872998,TODC - Ads Campaign,2025-10-24,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,282,21,9,175.58,27.65,0.0,0.0,19.51,3.07,6.35,0,9,9
