Start Date,End Date,Item Name,Menu Category,Gross Item Sales,Item Volume,% of Total Item Volume,Total Item Missing or Incorrect Errors,% of Total Missing/Incorrect Errors,Item Missing/Incorrect %,Total Item Error Charges,Currency
2025-01-01,2026-06-03,The Angel Reese Special,Combo Meals,24.98,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin® with Egg ,Individual Items,24.95,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,3 Piece McCrispy™ Strips,Limited Time: Special Edition Gold,24.86,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Iced Vanilla Latte,McCafé®,24.37,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Honest Kids® Organic Apple Juice Drink,Drinks,24.17,13,0.0,1,0.01,7.69,0.0,USD
2025-01-01,2026-06-03,2 Buffalo Ranch Snack Wrap® Meal,Chicken,23.48,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,2 Special Edition Gold Snack Wrap® Meal,Chicken,23.38,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Peppermint Mocha,McCafé® Coffees,23.03,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Sprite® Berry Blast,McCafé® Coffees,22.74,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Southern Style Sweet Tea Lemonade,McCafé® Beverages,22.23,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,McCrispy™,Meals,22.17,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Mango Pineapple Refresher,McCafé® Coffees,21.95,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Caramel Mocha,McCafé® Coffees,21.94,5,0.0,1,0.01,20.0,4.4,USD
2025-01-01,2026-06-03,Egg McMuffin® Meal,Sandwiches,21.08,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold Sauce Cup,Condiments,21.06,54,0.02,2,0.03,3.7,0.98,USD
2025-01-01,2026-06-03,Strawberry Watermelon Refresher,McCafé®,20.76,4,0.0,1,0.01,25.0,4.29,USD
2025-01-01,2026-06-03,Steak Egg Biscuit,Individual Items,20.74,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Honest Kids® Organic Apple Juice Drink,McCafé® Beverages,20.39,11,0.0,0,0.0,0.0,0.0,USD
