Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
Day of 2025-09-13,2025-09-13,2025-09-13,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,29,2,6.90,11.03,0,0.00,0,0.00,0.00,5.64,6.28,20.67,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,20.67
Day of 2025-09-12,2025-09-12,2025-09-12,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,74,73,4,5.41,19.37,1,1.35,0,0.00,0.00,5.96,7.05,25.33,86.66,13.34,192,NULL,2,NULL,1,0,0,0.00,USD,25.33
Day of 2025-09-12,2025-09-12,2025-09-12,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,50,49,4,8.00,30.25,1,2.00,0,0.00,0.00,5.13,6.15,23.79,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,23.79
Day of 2025-09-12,2025-09-12,2025-09-12,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,28,0,0.00,0.00,1,3.45,1,3.45,0.00,4.64,5.75,24.29,100.0,0.0,0,NULL,4,1,3,0,0,0.00,USD,24.29
Day of 2025-09-11,2025-09-11,2025-09-11,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,50,50,7,14.00,26.47,0,0.00,0,0.00,0.00,4.38,5.99,26.58,100.0,0.0,0,NULL,4,1,3,0,0,0.00,USD,26.58
Day of 2025-09-11,2025-09-11,2025-09-11,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,38,35,3,7.89,17.05,3,7.89,3,7.89,7.89,3.09,4.47,23.05,97.37,2.63,30,NULL,6,2,3,0,0,0.00,USD,23.05
Day of 2025-09-11,2025-09-11,2025-09-11,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,16,16,0,0.00,0.00,0,0.00,0,0.00,0.00,2.31,4.10,17.67,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,17.67
Day of 2025-09-10,2025-09-10,2025-09-10,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,37,37,1,2.70,2.17,0,0.00,0,0.00,0.00,5.35,6.50,23.59,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,23.59
Day of 2025-09-10,2025-09-10,2025-09-10,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,45,45,2,4.44,19.47,0,0.00,0,0.00,0.00,4.30,5.06,24.37,100.0,0.0,0,NULL,3,NULL,3,0,0,0.00,USD,24.37
Day of 2025-09-10,2025-09-10,2025-09-10,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,15,15,1,6.67,5.08,0,0.00,0,0.00,0.00,5.48,6.11,20.55,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,20.55
Day of 2025-09-09,2025-09-09,2025-09-09,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,51,51,4,7.84,18.39,0,0.00,0,0.00,0.00,5.02,5.79,22.59,100.0,0.0,0,NULL,3,NULL,1,0,0,0.00,USD,22.59
Day of 2025-09-09,2025-09-09,2025-09-09,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,33,32,2,6.06,10.68,1,3.03,0,0.00,0.00,3.42,4.36,23.09,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,23.09
Day of 2025-09-09,2025-09-09,2025-09-09,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,13,13,0,0.00,0.00,0,0.00,0,0.00,0.00,3.66,4.71,19.76,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,19.76
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,52,52,4,7.69,14.44,0,0.00,0,0.00,0.00,5.23,6.00,22.44,100.0,0.0,0,NULL,5,1,4,0,0,0.00,USD,22.44
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,36,36,3,8.33,13.83,0,0.00,0,0.00,0.00,5.13,6.97,27.73,100.0,0.0,0,NULL,3,NULL,3,0,0,0.00,USD,27.73
Day of 2025-09-08,2025-09-08,2025-09-08,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,21,21,3,14.29,24.04,0,0.00,0,0.00,0.00,3.37,4.70,22.67,100.0,0.0,0,NULL,3,1,2,0,0,0.00,USD,22.67
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,94,90,12,12.77,110.49,4,4.26,0,0.00,1.06,6.77,13.26,40.67,87.98,12.02,173,NULL,8,2,4,0,0,0.00,USD,40.67
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,44,43,4,9.09,20.66,1,2.27,1,2.27,0.00,3.68,4.65,20.29,97.03,2.97,37,NULL,2,1,NULL,0,0,0.00,USD,20.29
Day of 2025-09-07,2025-09-07,2025-09-07,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,23,2,8.00,11.28,2,8.00,0,0.00,0.00,5.13,5.83,18.47,85.0,15.0,27,NULL,3,NULL,3,0,0,0.00,USD,18.47
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,106,104,9,8.49,45.28,2,1.89,0,0.00,0.00,8.78,10.59,30.88,92.84,7.16,103,NULL,10,NULL,9,0,0,0.00,USD,30.88
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,44,43,1,2.27,13.71,1,2.27,1,2.27,0.00,4.96,6.48,22.39,100.0,0.0,0,NULL,4,NULL,4,0,0,0.00,USD,22.39
Day of 2025-09-06,2025-09-06,2025-09-06,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,1,4.55,2.84,0,0.00,0,0.00,0.00,4.66,6.44,25.45,99.17,0.83,10,NULL,3,NULL,2,0,0,0.00,USD,25.45
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,102,94,7,6.86,37.13,8,7.84,5,4.90,0.98,5.25,6.50,25.72,99.03,0.97,14,NULL,4,NULL,2,0,0,0.00,USD,25.72
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,56,54,3,5.36,12.74,2,3.57,0,0.00,0.00,4.85,6.80,25.97,100.0,0.0,0,NULL,3,NULL,3,0,0,0.00,USD,25.97
Day of 2025-09-05,2025-09-05,2025-09-05,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,17,14,1,5.88,2.66,3,17.65,3,17.65,0.00,5.26,6.39,25.88,89.02,10.98,158,NULL,2,NULL,NULL,0,0,0.00,USD,25.88
Day of 2025-09-04,2025-09-04,2025-09-04,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,53,52,4,7.55,18.53,1,1.89,0,0.00,0.00,4.87,6.03,23.78,100.0,0.0,0,NULL,5,NULL,4,0,0,0.00,USD,23.78
Day of 2025-09-04,2025-09-04,2025-09-04,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,57,57,5,8.77,16.75,0,0.00,0,0.00,0.00,3.93,5.71,22.51,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,22.51
Day of 2025-09-04,2025-09-04,2025-09-04,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,10,10,1,10.00,5.57,0,0.00,0,0.00,0.00,1.60,3.63,22.08,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,22.08
Day of 2025-09-03,2025-09-03,2025-09-03,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,52,52,3,5.77,27.42,0,0.00,0,0.00,0.00,4.07,4.87,22.28,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,22.28
Day of 2025-09-03,2025-09-03,2025-09-03,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,36,36,1,2.78,9.41,0,0.00,0,0.00,0.00,5.09,5.98,24.85,97.37,2.63,30,NULL,4,NULL,3,0,0,0.00,USD,24.85
Day of 2025-09-03,2025-09-03,2025-09-03,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,15,15,1,6.67,2.36,0,0.00,0,0.00,0.00,2.68,3.85,21.64,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,21.64
Day of 2025-09-02,2025-09-02,2025-09-02,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,41,40,2,4.88,3.64,1,2.44,0,0.00,0.00,3.13,3.63,19.35,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,19.35
Day of 2025-09-02,2025-09-02,2025-09-02,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,28,28,1,3.57,6.44,0,0.00,0,0.00,0.00,3.63,5.05,25.07,100.0,0.0,0,NULL,5,1,2,0,0,0.00,USD,25.07
Day of 2025-09-02,2025-09-02,2025-09-02,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,0,0.00,0.00,0,0.00,0,0.00,0.00,2.90,3.85,18.13,100.0,0.0,0,NULL,3,NULL,2,0,0,0.00,USD,18.13
Day of 2025-09-01,2025-09-01,2025-09-01,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,56,56,2,3.57,8.99,0,0.00,0,0.00,0.00,5.32,6.64,21.07,94.73,5.27,60,NULL,3,2,1,0,0,0.00,USD,21.07
Day of 2025-09-01,2025-09-01,2025-09-01,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,42,40,1,2.38,1.80,2,4.76,1,2.38,0.00,3.23,3.86,19.33,100.0,0.0,0,NULL,3,1,1,0,0,0.00,USD,19.33
Day of 2025-09-01,2025-09-01,2025-09-01,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,22,3,13.04,13.29,1,4.35,0,0.00,0.00,3.02,4.88,17.35,100.0,0.0,0,NULL,3,NULL,3,0,0,0.00,USD,17.35
Day of 2025-08-31,2025-08-31,2025-08-31,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,81,79,8,9.88,42.53,2,2.47,1,1.23,0.00,9.05,10.51,30.80,92.43,7.57,109,NULL,7,2,4,0,0,0.00,USD,30.80
Day of 2025-08-31,2025-08-31,2025-08-31,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,40,40,5,12.50,25.36,0,0.00,0,0.00,0.00,4.23,4.85,22.43,99.25,0.75,9,NULL,4,1,2,0,0,0.00,USD,22.43
Day of 2025-08-31,2025-08-31,2025-08-31,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,22,5,20.00,32.57,3,12.00,3,12.00,0.00,4.52,5.94,23.20,98.47,1.53,22,NULL,0,NULL,NULL,0,0,0.00,USD,23.20
Day of 2025-08-30,2025-08-30,2025-08-30,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,78,73,7,8.97,23.86,5,6.41,3,3.85,1.28,8.10,9.38,30.79,83.33,16.67,30,NULL,4,1,1,0,0,0.00,USD,30.79
Day of 2025-08-30,2025-08-30,2025-08-30,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,59,55,6,10.17,48.43,4,6.78,1,1.69,0.00,4.22,5.08,26.27,99.25,0.75,9,NULL,4,1,2,0,0,0.00,USD,26.27
Day of 2025-08-30,2025-08-30,2025-08-30,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,24,22,2,8.33,9.03,2,8.33,2,8.33,0.00,5.50,6.46,22.74,92.77,7.23,104,NULL,3,1,1,0,0,0.00,USD,22.74
Day of 2025-08-29,2025-08-29,2025-08-29,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,68,67,2,2.94,1.38,1,1.47,1,1.47,0.00,4.94,6.10,21.42,99.17,0.83,10,NULL,2,NULL,2,0,0,0.00,USD,21.42
Day of 2025-08-29,2025-08-29,2025-08-29,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,53,53,5,9.43,24.11,0,0.00,0,0.00,0.00,4.37,5.16,22.25,100.0,0.0,0,NULL,4,2,2,0,0,0.00,USD,22.25
Day of 2025-08-29,2025-08-29,2025-08-29,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,21,1,3.45,0.00,8,27.59,6,20.69,3.45,4.50,6.30,21.66,89.92,10.08,145,NULL,3,NULL,2,0,0,0.00,USD,21.66
Day of 2025-08-28,2025-08-28,2025-08-28,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,65,64,6,9.23,30.69,1,1.54,0,0.00,0.00,5.48,6.31,23.11,97.37,2.63,30,NULL,4,NULL,2,0,0,0.00,USD,23.11
Day of 2025-08-28,2025-08-28,2025-08-28,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,46,44,7,15.22,23.28,2,4.35,1,2.17,0.00,4.41,5.98,21.95,97.37,2.63,30,NULL,1,NULL,NULL,0,0,0.00,USD,21.95
Day of 2025-08-28,2025-08-28,2025-08-28,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,23,2,8.70,10.32,0,0.00,0,0.00,0.00,4.38,5.02,19.85,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,19.85
Day of 2025-08-27,2025-08-27,2025-08-27,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,46,46,7,15.22,31.48,0,0.00,0,0.00,0.00,7.04,7.54,21.94,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,21.94
Day of 2025-08-27,2025-08-27,2025-08-27,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,40,40,2,5.00,21.86,0,0.00,0,0.00,0.00,3.17,4.05,19.85,100.0,0.0,0,NULL,1,1,NULL,0,0,0.00,USD,19.85
Day of 2025-08-27,2025-08-27,2025-08-27,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,22,2,8.70,3.42,1,4.35,1,4.35,0.00,2.27,3.49,23.06,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,23.06
Day of 2025-08-26,2025-08-26,2025-08-26,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,50,50,10,20.00,51.22,0,0.00,0,0.00,2.00,6.01,6.75,22.58,100.0,0.0,0,NULL,5,3,2,0,0,0.00,USD,22.58
Day of 2025-08-26,2025-08-26,2025-08-26,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,36,36,1,2.78,9.35,0,0.00,0,0.00,0.00,3.82,5.22,19.60,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,19.60
Day of 2025-08-26,2025-08-26,2025-08-26,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,15,15,0,0.00,0.00,0,0.00,0,0.00,0.00,3.48,4.68,18.26,100.0,0.0,0,NULL,3,NULL,2,0,0,0.00,USD,18.26
Day of 2025-08-25,2025-08-25,2025-08-25,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,40,40,3,7.50,16.45,0,0.00,0,0.00,0.00,4.69,5.68,22.94,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,22.94
Day of 2025-08-25,2025-08-25,2025-08-25,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,43,43,0,0.00,0.00,0,0.00,0,0.00,0.00,3.08,4.21,18.14,100.0,0.0,0,NULL,7,1,6,0,0,0.00,USD,18.14
Day of 2025-08-25,2025-08-25,2025-08-25,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,20,20,0,0.00,0.00,0,0.00,0,0.00,0.00,3.92,4.41,18.23,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,18.23
Day of 2025-08-24,2025-08-24,2025-08-24,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,90,86,10,11.11,46.56,4,4.44,1,1.11,1.11,6.77,8.06,25.36,100.0,0.0,0,NULL,3,2,1,0,0,0.00,USD,25.36
Day of 2025-08-24,2025-08-24,2025-08-24,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,43,43,3,6.98,17.40,0,0.00,0,0.00,0.00,2.72,3.80,18.99,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,18.99
Day of 2025-08-24,2025-08-24,2025-08-24,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,27,26,1,3.70,10.79,1,3.70,0,0.00,0.00,4.22,5.15,21.35,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,21.35
Day of 2025-08-23,2025-08-23,2025-08-23,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,78,77,5,6.41,60.99,1,1.28,0,0.00,0.00,6.93,7.81,25.95,100.0,0.0,0,NULL,5,1,4,0,0,0.00,USD,25.95
Day of 2025-08-23,2025-08-23,2025-08-23,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,41,41,3,7.32,9.78,0,0.00,0,0.00,0.00,3.95,5.15,23.31,100.0,0.0,0,NULL,2,NULL,2,0,0,0.00,USD,23.31
Day of 2025-08-23,2025-08-23,2025-08-23,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,27,22,1,3.70,3.57,5,18.52,5,18.52,0.00,3.61,4.55,19.56,96.87,3.13,45,NULL,2,NULL,1,0,0,0.00,USD,19.56
Day of 2025-08-22,2025-08-22,2025-08-22,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,42,41,3,7.14,28.27,1,2.38,0,0.00,0.00,4.88,6.51,27.75,96.58,3.42,41,NULL,3,NULL,2,0,0,0.00,USD,27.75
Day of 2025-08-22,2025-08-22,2025-08-22,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,40,39,4,10.00,56.50,1,2.50,0,0.00,2.50,4.49,5.53,23.40,98.5,1.5,18,NULL,5,NULL,3,0,0,0.00,USD,23.40
Day of 2025-08-22,2025-08-22,2025-08-22,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,17,0,0.00,0.00,5,22.73,5,22.73,0.00,4.28,5.09,21.34,88.26,11.74,169,NULL,5,1,3,0,0,0.00,USD,21.34
Day of 2025-08-21,2025-08-21,2025-08-21,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,56,56,4,7.14,24.53,0,0.00,0,0.00,0.00,4.68,5.44,21.05,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,21.05
Day of 2025-08-21,2025-08-21,2025-08-21,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,30,30,4,13.33,17.09,0,0.00,0,0.00,0.00,2.99,3.98,20.11,100.0,0.0,0,NULL,3,NULL,2,0,0,0.00,USD,20.11
Day of 2025-08-21,2025-08-21,2025-08-21,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,18,18,0,0.00,0.00,0,0.00,0,0.00,0.00,2.66,3.58,15.65,100.0,0.0,0,NULL,4,NULL,3,0,0,0.00,USD,15.65
Day of 2025-08-20,2025-08-20,2025-08-20,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,51,50,0,0.00,0.00,1,1.96,0,0.00,0.00,3.89,4.77,21.34,100.0,0.0,0,NULL,3,1,2,0,0,0.00,USD,21.34
Day of 2025-08-20,2025-08-20,2025-08-20,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,35,35,2,5.71,21.40,0,0.00,0,0.00,2.86,3.60,4.39,21.80,100.0,0.0,0,NULL,6,NULL,5,0,0,0.00,USD,21.80
Day of 2025-08-20,2025-08-20,2025-08-20,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,16,16,0,0.00,0.00,0,0.00,0,0.00,0.00,3.40,4.20,20.78,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,20.78
Day of 2025-08-19,2025-08-19,2025-08-19,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,43,43,3,6.98,16.36,0,0.00,0,0.00,0.00,4.25,5.16,21.37,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,21.37
Day of 2025-08-19,2025-08-19,2025-08-19,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,33,32,0,0.00,0.00,1,3.03,1,3.03,0.00,3.61,4.49,21.86,100.0,0.0,0,NULL,3,NULL,2,0,0,0.00,USD,21.86
Day of 2025-08-19,2025-08-19,2025-08-19,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,16,16,1,6.25,6.93,0,0.00,0,0.00,0.00,3.76,4.31,17.95,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,17.95
Day of 2025-08-18,2025-08-18,2025-08-18,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,49,48,1,2.04,2.25,1,2.04,0,0.00,2.04,3.03,3.86,18.97,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,18.97
Day of 2025-08-18,2025-08-18,2025-08-18,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,33,33,1,3.03,4.92,0,0.00,0,0.00,0.00,3.92,5.55,17.87,100.0,0.0,0,NULL,6,NULL,6,0,0,0.00,USD,17.87
Day of 2025-08-18,2025-08-18,2025-08-18,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,13,12,1,7.69,12.87,1,7.69,1,7.69,0.00,2.65,3.36,18.48,91.57,8.43,96,NULL,2,NULL,2,0,0,0.00,USD,18.48
Day of 2025-08-17,2025-08-17,2025-08-17,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,74,70,2,2.70,9.33,4,5.41,3,4.05,0.00,5.31,5.91,23.37,97.36,2.64,38,NULL,6,1,5,0,0,0.00,USD,23.37
Day of 2025-08-17,2025-08-17,2025-08-17,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,44,44,1,2.27,2.66,0,0.00,0,0.00,0.00,5.74,6.66,22.98,96.16,3.84,46,NULL,2,1,1,0,0,0.00,USD,22.98
Day of 2025-08-17,2025-08-17,2025-08-17,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,16,15,1,6.25,5.75,1,6.25,1,6.25,0.00,6.08,7.59,22.28,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,22.28
Day of 2025-08-16,2025-08-16,2025-08-16,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,82,82,8,9.76,76.16,0,0.00,0,0.00,0.00,7.15,8.09,24.87,83.33,16.67,30,NULL,6,2,4,0,0,0.00,USD,24.87
Day of 2025-08-16,2025-08-16,2025-08-16,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,46,46,6,13.04,70.12,0,0.00,0,0.00,0.00,3.58,4.40,20.42,100.0,0.0,0,NULL,4,2,2,0,0,0.00,USD,20.42
Day of 2025-08-16,2025-08-16,2025-08-16,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,19,18,1,5.26,13.23,1,5.26,1,5.26,0.00,8.39,9.01,22.14,99.37,0.63,9,NULL,1,NULL,1,0,0,0.00,USD,22.14
Day of 2025-08-15,2025-08-15,2025-08-15,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,76,76,6,7.89,45.52,0,0.00,0,0.00,0.00,6.31,6.59,24.28,99.67,0.33,4,NULL,7,2,5,0,0,0.00,USD,24.28
Day of 2025-08-15,2025-08-15,2025-08-15,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,55,55,2,3.64,9.60,0,0.00,0,0.00,0.00,3.24,4.24,23.91,100.0,0.0,0,NULL,3,NULL,2,0,0,0.00,USD,23.91
Day of 2025-08-15,2025-08-15,2025-08-15,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,26,21,2,7.69,4.98,5,19.23,5,19.23,0.00,5.07,6.23,25.11,89.99,10.01,144,NULL,6,2,3,0,0,0.00,USD,25.11
Day of 2025-08-14,2025-08-14,2025-08-14,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,42,42,1,2.38,5.23,0,0.00,0,0.00,0.00,4.68,5.30,22.38,100.0,0.0,0,NULL,3,NULL,3,0,0,0.00,USD,22.38
Day of 2025-08-14,2025-08-14,2025-08-14,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,43,41,3,6.98,15.40,2,4.65,0,0.00,0.00,4.39,5.42,24.56,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,24.56
Day of 2025-08-14,2025-08-14,2025-08-14,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,14,14,1,7.14,3.40,0,0.00,0,0.00,0.00,1.88,3.30,20.78,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,20.78
Day of 2025-08-13,2025-08-13,2025-08-13,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,43,43,2,4.65,15.35,0,0.00,0,0.00,0.00,5.48,6.18,25.04,98.67,1.33,15,NULL,3,NULL,3,0,0,0.00,USD,25.04
Day of 2025-08-13,2025-08-13,2025-08-13,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,40,40,3,7.50,23.32,0,0.00,0,0.00,0.00,5.24,6.81,24.59,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,24.59
Day of 2025-08-13,2025-08-13,2025-08-13,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,13,13,1,7.69,17.55,0,0.00,0,0.00,0.00,3.28,3.97,19.26,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,19.26
Day of 2025-08-12,2025-08-12,2025-08-12,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,47,47,3,6.38,21.01,0,0.00,0,0.00,0.00,4.60,6.02,24.45,97.37,2.63,30,NULL,6,1,4,0,0,0.00,USD,24.45
Day of 2025-08-12,2025-08-12,2025-08-12,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,29,29,4,13.79,20.00,0,0.00,0,0.00,0.00,4.36,4.89,22.37,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,22.37
Day of 2025-08-12,2025-08-12,2025-08-12,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,16,16,1,6.25,0.00,0,0.00,0,0.00,0.00,7.75,8.57,28.47,98.42,1.58,18,NULL,2,NULL,1,0,0,0.00,USD,28.47
Day of 2025-08-11,2025-08-11,2025-08-11,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,25,25,0,0.00,0.00,0,0.00,0,0.00,0.00,3.32,3.98,20.65,100.0,0.0,0,NULL,1,NULL,1,0,0,0.00,USD,20.65
Day of 2025-08-11,2025-08-11,2025-08-11,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,25,25,2,8.00,17.20,0,0.00,0,0.00,0.00,4.05,5.08,20.56,100.0,0.0,0,NULL,1,1,NULL,0,0,0.00,USD,20.56
Day of 2025-08-11,2025-08-11,2025-08-11,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,13,13,1,7.69,0.17,0,0.00,0,0.00,0.00,5.23,7.51,25.70,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,25.70
Day of 2025-08-10,2025-08-10,2025-08-10,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,51,47,6,11.76,22.69,4,7.84,4,7.84,1.96,4.91,5.45,23.79,94.79,5.21,75,NULL,2,NULL,1,0,0,0.00,USD,23.79
Day of 2025-08-10,2025-08-10,2025-08-10,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,29,28,2,6.90,7.39,1,3.45,0,0.00,0.00,4.67,5.58,23.17,100.0,0.0,0,NULL,2,NULL,1,0,0,0.00,USD,23.17
Day of 2025-08-10,2025-08-10,2025-08-10,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,3,13.64,14.46,0,0.00,0,0.00,4.55,7.00,7.40,29.77,100.0,0.0,0,NULL,1,1,NULL,0,0,0.00,USD,29.77
